Date,Price
03/17/2020,146.57000732421875
03/18/2020,140.39999389648438
03/19/2020,142.7100067138672
03/20/2020,137.35000610351562
03/23/2020,135.97999572753906
03/24/2020,148.33999633789062
03/25/2020,146.9199981689453
03/26/2020,156.11000061035156
03/27/2020,149.6999969482422
03/30/2020,160.22999572753906
03/31/2020,157.7100067138672
04/01/2020,152.11000061035156
04/02/2020,155.25999450683594
04/03/2020,153.8300018310547
04/06/2020,165.27000427246094
04/07/2020,163.49000549316406
04/08/2020,165.1300048828125
04/09/2020,165.13999938964844
04/13/2020,165.50999450683594
04/14/2020,173.6999969482422
04/15/2020,171.8800048828125
04/16/2020,174.41000366210938
