,Date,Polarity
0,04/15/2020,0.5366666666666667
1,04/14/2020,0.26375000000000004
2,04/13/2020,0.3734375
4,04/09/2020,0.3445833333333333
5,04/08/2020,0.4
6,04/07/2020,0.2859375
7,04/02/2020,0.234375
8,04/01/2020,0.16666666666666666
9,03/31/2020,0.7
10,03/30/2020,0.2333333333333333
12,03/27/2020,0.075
13,03/26/2020,-0.16666666666666666
14,03/25/2020,-0.25
15,03/24/2020,0.25833333333333336
16,03/23/2020,0.2044270833333333
17,03/20/2020,0.25
18,03/19/2020,0.0
19,03/18/2020,0.4416666666666667
20,03/17/2020,0.11113636363636364
21,03/16/2020,0.0
23,03/12/2020,-0.225
24,03/11/2020,0.25
25,03/10/2020,0.16666666666666669
26,03/09/2020,0.2683531746031746
27,03/06/2020,0.26666666666666666
28,03/04/2020,0.3583333333333333
29,03/03/2020,0.08333333333333334
30,03/02/2020,0.34375
31,02/28/2020,0.0
32,02/27/2020,0.05625
33,02/26/2020,0.0
34,02/24/2020,0.0
35,02/21/2020,1.0
36,02/20/2020,0.0
37,02/19/2020,0.0
38,02/18/2020,0.3541666666666667
39,02/14/2020,0.1875
40,02/12/2020,0.5
41,02/11/2020,0.40625
43,02/06/2020,0.7500000000000001
44,02/05/2020,0.625
45,02/04/2020,0.03333333333333333
46,02/03/2020,0.125
47,01/30/2020,0.10833333333333334
48,01/28/2020,0.18522727272727274
49,01/23/2020,0.141796875
50,01/21/2020,0.625
51,01/16/2020,0.3333333333333333
52,01/15/2020,1.0
53,01/13/2020,0.5
54,01/10/2020,0.2569264069264069
