,Date,Price
67,04/15/2020,58.86999893188477
66,04/14/2020,60.65999984741211
65,04/13/2020,58.70000076293945
64,04/09/2020,57.13999938964844
63,04/08/2020,58.97999954223633
62,04/07/2020,58.4000015258789
59,04/02/2020,54.349998474121094
58,04/01/2020,51.88000106811523
57,03/31/2020,54.11999893188477
56,03/30/2020,55.4900016784668
55,03/27/2020,52.36999893188477
54,03/26/2020,55.540000915527344
53,03/25/2020,51.2599983215332
52,03/24/2020,52.4000015258789
51,03/23/2020,49.58000183105469
50,03/20/2020,45.83000183105469
49,03/19/2020,45.93999862670898
48,03/18/2020,47.61000061035156
47,03/17/2020,50.08000183105469
46,03/16/2020,44.61000061035156
44,03/12/2020,45.540000915527344
43,03/11/2020,51.65999984741211
42,03/10/2020,53.97999954223633
41,03/09/2020,50.849998474121094
40,03/06/2020,55.77000045776367
38,03/04/2020,58.68000030517578
37,03/03/2020,55.97000122070313
36,03/02/2020,58.18000030517578
35,02/28/2020,55.52000045776367
34,02/27/2020,55.83000183105469
33,02/26/2020,59.6500015258789
31,02/24/2020,61.7599983215332
30,02/21/2020,64.33999633789061
29,02/20/2020,65.44999694824219
28,02/19/2020,67.11000061035156
27,02/18/2020,66.13999938964844
26,02/14/2020,67.26999664306639
24,02/12/2020,67.45999908447266
23,02/11/2020,67.41000366210939
20,02/06/2020,67.08999633789061
19,02/05/2020,67.33999633789061
18,02/04/2020,65.45999908447266
17,02/03/2020,64.41999816894531
15,01/30/2020,66.47000122070311
13,01/28/2020,67.30999755859375
10,01/23/2020,63.31999969482422
8,01/21/2020,60.54999923706055
6,01/16/2020,59.65999984741211
5,01/15/2020,58.93999862670898
3,01/13/2020,59.59000015258789
2,01/10/2020,58.93999862670898
